City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
171,Roma,US,2022-10-18 18:56:03,43.2128,-75.4557,52.95,62,100,1.01
172,Burgeo,CA,2022-10-18 19:00:09,47.6167,-57.6152,58.75,75,72,6.8
173,Tasiilaq,GL,2022-10-18 19:00:10,65.6145,-37.6368,33.01,82,100,2.71
174,Eruwa,NG,2022-10-18 19:00:11,7.5333,3.4167,78.24,80,73,3.38
175,Namwala,ZM,2022-10-18 19:00:12,-15.7504,26.4384,82.36,23,100,9.37
176,Lompoc,US,2022-10-18 19:00:13,34.6391,-120.4579,90.01,52,64,3.0
177,Mindelo,CV,2022-10-18 19:00:14,16.8901,-24.9804,78.71,78,96,13.09
178,Wanning,CN,2022-10-18 19:00:16,18.8003,110.3967,68.86,95,100,25.1
179,Seymchan,RU,2022-10-18 19:00:16,62.8833,152.4333,12.61,73,100,19.28
180,Kabalo,CD,2022-10-18 19:01:17,-6.05,26.9167,70.84,91,96,0.72
181,Timizart,DZ,2022-10-18 19:01:18,36.8,4.2667,75.76,40,0,5.53
182,Polyarnyy,RU,2022-10-18 19:01:20,69.1989,33.4478,40.82,76,100,21.47
183,Tuban,ID,2022-10-18 19:01:20,-6.8976,112.0649,78.06,87,100,3.94
184,Severomuysk,RU,2022-10-18 19:01:21,56.1481,113.4267,12.0,96,43,4.27
185,Zhigansk,RU,2022-10-18 19:01:22,66.7697,123.3711,14.41,93,100,7.07
186,Bubaque,GW,2022-10-18 19:01:22,11.2833,-15.8333,81.75,76,100,8.79
187,Ucluelet,CA,2022-10-18 19:01:23,48.9329,-125.5528,62.1,81,57,4.29
188,Nelson Bay,AU,2022-10-18 19:01:23,-32.7167,152.15,64.99,97,100,1.01
189,Axim,GH,2022-10-18 19:01:24,4.8699,-2.2405,77.97,85,60,5.91
190,Taoudenni,ML,2022-10-18 19:01:24,22.6783,-3.9836,92.62,13,92,4.41
191,Amherst,US,2022-10-18 19:00:24,41.3978,-82.2224,43.05,71,100,8.01
192,Okakarara,NA,2022-10-18 19:01:25,-20.5833,17.4333,77.36,29,92,6.4
193,Khani,GE,2022-10-18 19:01:25,41.9563,42.9566,53.17,78,0,5.5
194,Salalah,OM,2022-10-18 19:01:26,17.0151,54.0924,75.81,61,0,3.15
195,Jussara,BR,2022-10-18 19:01:27,-23.6214,-52.4694,74.52,76,100,8.75
196,Thinadhoo,MV,2022-10-18 19:01:27,0.5333,72.9333,80.64,75,100,9.15
197,Nantucket,US,2022-10-18 19:01:28,41.2835,-70.0995,65.08,94,100,11.5
198,Condoto,CO,2022-10-18 19:01:28,5.0935,-76.6497,78.82,93,99,4.79
199,Santiago Del Estero,AR,2022-10-18 19:01:29,-27.7951,-64.2615,68.86,52,91,5.03
200,Pacific Grove,US,2022-10-18 19:01:30,36.6177,-121.9166,80.28,65,72,6.51
201,Dhidhdhoo,MV,2022-10-18 19:01:30,6.8833,73.1,77.27,91,100,19.95
202,Cayenne,GF,2022-10-18 19:01:31,4.9333,-52.3333,86.04,70,75,16.11
203,Avarua,CK,2022-10-18 19:01:31,-21.2078,-159.775,77.05,65,40,16.11
204,Wajima,JP,2022-10-18 19:01:31,37.4,136.9,55.63,57,29,11.43
205,Tuatapere,NZ,2022-10-18 19:01:32,-46.1333,167.6833,42.64,88,86,4.92
206,Hopkinsville,US,2022-10-18 18:58:46,36.8656,-87.4886,52.32,54,5,14.58
207,Cairns,AU,2022-10-18 19:00:21,-16.9167,145.7667,73.35,93,40,8.05
208,Puerto Del Rosario,ES,2022-10-18 19:01:33,28.5004,-13.8627,74.95,83,0,12.66
209,Quzhou,CN,2022-10-18 19:01:33,28.9594,118.8686,49.21,71,0,6.49
210,Cabra,ES,2022-10-18 19:01:35,37.4725,-4.4421,76.77,39,100,4.27
211,Mobaye,CF,2022-10-18 19:00:17,4.319,21.1786,72.34,92,40,1.07
212,Bilibino,RU,2022-10-18 19:01:37,68.0546,166.4372,5.7,87,100,8.48
213,Ozernovskiy,RU,2022-10-18 19:01:37,51.5,156.5167,41.0,69,100,30.53
214,Komsomolskiy,UZ,2022-10-18 19:01:38,40.4272,71.7189,57.92,77,75,0.0
215,Hasaki,JP,2022-10-18 19:01:38,35.7333,140.8333,56.21,70,100,21.83
216,Kolyshley,RU,2022-10-18 19:01:39,52.7005,44.5367,52.86,77,100,19.08
217,Mantua,IT,2022-10-18 19:01:40,45.1667,10.7833,65.44,83,0,3.06
218,Undory,RU,2022-10-18 19:01:40,54.6085,48.3928,45.68,88,100,18.52
219,Marawi,PH,2022-10-18 18:58:36,7.9986,124.2928,69.89,94,100,1.12
220,Muros,ES,2022-10-18 19:01:41,42.7762,-9.0603,66.09,89,100,14.74
221,Fortuna,US,2022-10-18 19:01:41,40.5982,-124.1573,62.98,67,54,4.99
222,Sao Filipe,CV,2022-10-18 19:02:42,14.8961,-24.4956,80.94,79,31,7.25
223,Luderitz,NA,2022-10-18 19:02:42,-26.6481,15.1594,61.84,80,8,12.88
224,Vostochnyy,RU,2022-10-18 19:02:43,55.8167,37.8667,51.73,81,100,9.62
225,Tiksi,RU,2022-10-18 19:02:43,71.6872,128.8694,7.88,93,99,7.31
226,Tuy Hoa,VN,2022-10-18 19:02:44,13.0833,109.3,72.97,90,100,3.91
227,College,US,2022-10-18 19:02:44,64.8569,-147.8028,32.58,93,75,0.0
228,Copiapo,CL,2022-10-18 19:00:46,-27.3667,-70.3333,77.9,23,0,10.74
229,Mollendo,PE,2022-10-18 19:02:45,-17.0231,-72.0147,65.53,74,45,9.46
230,Chiang Khong,TH,2022-10-18 19:02:46,20.2613,100.4046,65.32,75,5,2.48
231,Nouadhibou,MR,2022-10-18 19:02:46,20.931,-17.0347,75.54,68,21,22.24
232,Flin Flon,CA,2022-10-18 19:02:47,54.7682,-101.865,49.37,34,35,10.63
233,Snyder,US,2022-10-18 19:02:47,32.7179,-100.9176,66.09,36,100,4.61
234,Shimoda,JP,2022-10-18 19:02:47,34.6667,138.95,56.1,85,100,17.45
235,San Quintin,MX,2022-10-18 19:02:48,30.4833,-115.95,74.7,63,1,8.32
236,Lebu,CL,2022-10-18 19:02:48,-37.6167,-73.65,57.15,73,42,7.07
237,Atambua,ID,2022-10-18 19:02:49,-9.1061,124.8925,76.05,84,96,1.28
238,Gorontalo,ID,2022-10-18 19:02:49,0.5412,123.0595,75.43,95,100,2.48
239,Road Town,VG,2022-10-18 19:00:11,18.4167,-64.6167,82.85,71,9,10.74
240,Sept-Iles,CA,2022-10-18 19:02:50,50.2001,-66.3821,47.05,97,100,23.02
241,Kuching,MY,2022-10-18 19:00:34,1.55,110.3333,75.42,100,20,0.0
242,Saint-Joseph,RE,2022-10-18 19:02:50,-21.3667,55.6167,66.58,77,37,9.57
243,Cap Malheureux,MU,2022-10-18 19:02:51,-19.9842,57.6142,68.47,69,29,3.0
244,Port Alberni,CA,2022-10-18 18:59:00,49.2413,-124.8028,64.89,67,6,1.43
245,Fairbanks,US,2022-10-18 18:59:03,64.8378,-147.7164,32.59,93,100,2.59
246,Grindavik,IS,2022-10-18 19:02:52,63.8424,-22.4338,45.07,70,100,13.8
247,Goundam,ML,2022-10-18 19:02:52,16.4145,-3.6708,93.6,12,4,11.95
248,Hithadhoo,MV,2022-10-18 19:02:53,-0.6,73.0833,81.27,70,100,6.29
249,Victoria,HK,2022-10-18 18:58:20,22.2855,114.1577,72.32,59,100,15.01
250,Lola,GN,2022-10-18 19:02:53,7.8,-8.5333,73.98,83,55,2.62
251,Krasne,UA,2022-10-18 19:02:54,49.9145,24.6134,54.9,77,100,7.14
252,Sola,VU,2022-10-18 19:01:24,-13.8833,167.55,80.92,77,21,14.76
253,Appleton,US,2022-10-18 18:59:04,44.2619,-88.4154,44.78,58,40,23.02
254,Tamandare,BR,2022-10-18 19:02:55,-8.7597,-35.1047,77.7,78,47,10.25
